
1	604.5	652	589.5	660.5
2	439.5	567	424.5	596.5
3	577.5	633.5	562.5	643
4	669	772.5	659.5	818
5	680.5	768	670	798
6	433.5	575.5	415.5	632
7	775	887	710	950
8	551	646	435	660.5
9	414.5	568	262	637.5
10	437.5	661	265	775
11	706.5	883	672.5	949.5
12	666.5	878	648.5	955.5
13	672	773	661	825
14	704.5	878	672	890.5
15	666.5	772	657.5	776
16	660	771	652	775
17	662.5	771.5	654	775.5
18	659.5	771	651.5	774.5
19	893	988.5	885.5	993
20	682.5	820	667.5	881
21	709	879.5	680.5	889.5
22	650	672.5	609.5	773
23	991	1022.5	898	1030.5
24	1033.5	1221.5	994	1274
25	775.5	891	774.5	972.5
26	647	667.5	604.5	771.5
27	545	647	423.5	664.5
28	681	768	669	826
29	666	772	657.5	776
30	607	658	590.5	669.5
31	708	892.5	669	991.5
32	663.5	772.5	653	821.5
33	641.5	773	562.5	887
34	592.5	651	553	662
35	774.5	882.5	683.5	941.5
36	669.5	773.5	658	874.5
37	610.5	759.5	571	797
38	656	773.5	609.5	883.5
39	411	531	377	543.5
40	775	891	710	975.5
41	669.5	773.5	658	874.5
42	587	647.5	553	657
43	424	550	412	580.5
44	424	550	412	580.5
45	416	539.5	401.5	561
46	548.5	603.5	440.5	645.5
47	704.5	878	672	890.5
48	704.5	878	672	890.5
49	424	550	412	580.5
50	433.5	566	417.5	598
51	378.5	425.5	258.5	537
52	406	528	263	543.5
53	555	636	538	648
54	575	645	548	655
55	656	771	646	775
56	418	542.5	405	567
57	603	654	573.5	665
58	789.5	825.5	705.5	879.5
59	775	884	709.5	891.5
60	993	1022	903	1029
61	1034.5	1158.5	1026	1173.5
62	882.5	991	774.5	1018.5
63	666	773	655.5	826.5
64	605	656.5	583.5	668
65	647	667.5	604.5	771.5
66	774.5	885	680.5	950
67	651.5	771	608	775.5
68	555	636	538	648
69	703.5	740	678	866.5
70	679.5	769.5	669	798
71	1274.5	1288.5	1265	1376.5
72	659	759.5	650.5	774.5
73	548.5	603.5	440.5	645.5
74	647	667.5	604.5	771.5
75	603	654	573.5	665
76	774.5	945	682.5	991
77	774.5	945	682.5	991
78	775	942	704	987.5
79	657.5	757	649.5	773.5
80	592.5	651	553	662
81	246.5	419.5	209	542.5
82	666.5	878	648.5	955.5
83	649.5	772	601	827.5
84	433	551	419.5	574.5
85	545	595.5	440	635.5
86	433.5	571	416.5	602.5
87	442	584	422.5	633
88	442	560	431	576.5
89	603	664	563	772
90	669.5	772.5	660	776
91	601.5	651	573.5	660
92	653	771.5	608	820.5
93	608.5	659	594.5	671.5
94	605	656.5	583.5	668
95	539	591.5	428.5	636.5
96	424	550	412	580.5
97	424	550	412	580.5
98	649	673.5	606	773
99	649	673.5	606	773
100	608.5	661	591	675.5
101	652	757.5	610	774
102	654	757.5	644.5	774
103	654	758	644	774
104	643	661.5	601.5	674
105	539.5	596.5	428	640.5
106	1266.5	1379.5	1218	1396.5
107	603	654	573.5	665
108	603	670.5	553.5	774
109	688.5	887	663	978.5
110	663.5	772.5	653	821.5
111	658.5	773.5	644	882
112	545	642	428.5	657
113	672	772	665	775.5
114	790	824.5	707	877.5
115	669.5	771.5	663.5	775
116	665.5	771	660	774.5
117	673.5	772	665.5	775.5
118	678	771	669	776
119	665	771	659	774.5
120	684	743.5	674	776
121	775.5	886	775	891
122	703.5	740.5	679.5	817
123	775.5	888.5	775	945.5
124	605	657.5	578.5	670.5
125	687.5	742	674.5	826
126	779	976	775	992.5
127	660.5	772	651	776
128	786	877	704	886.5
129	775	888	710	953
130	678.5	771	667.5	819.5
131	1038.5	1169	1026.5	1218.5
132	688.5	872.5	668.5	888
133	420	571	402	636
134	442	579	423.5	604
135	663.5	772.5	653	821.5
136	596	650	562.5	659.5
137	658.5	771.5	648.5	775.5
138	654	758	643.5	774
139	649	665.5	609.5	757.5
140	590.5	645	562	653
141	571.5	605	551	643.5
142	545	592	440.5	604.5
143	775	888.5	774	954.5
144	777.5	955	775	990
145	775	888.5	774	953.5
146	775	885.5	707.5	944.5
147	682.5	766.5	669	874.5
148	774.5	992	676.5	1028
149	593.5	655	549	670
150	775	887.5	707.5	952.5
151	704	876.5	671.5	889
152	663	771.5	655	775
153	654	774	605	885
154	883	975.5	775	992
155	1052	1217.5	1035.5	1252
156	682.5	767	669.5	827
157	704	822.5	676.5	880.5
158	572	639	548.5	648.5
159	583.5	643	558	651.5
160	564	647	481	660.5
161	420	559	405.5	598
162	709	877.5	681.5	888
163	775.5	947.5	774.5	979
164	437	602.5	414	650
165	545	642	428.5	657
166	555.5	647	437	662
167	669.5	773	659	826
168	709	879.5	680.5	889.5
169	775.5	971.5	774	992
170	566.5	643.5	541	654.5
171	411.5	553	261	601
172	432	599	409	647.5
173	605.5	670.5	565.5	773.5
174	435.5	563	419.5	593.5
175	647	771.5	597	822.5
176	688.5	881.5	665.5	949.5
177	610	660.5	597	673.5
178	608.5	651	600.5	657
179	647	771	599	776
180	774.5	955.5	676.5	994
181	644.5	771	591.5	797.5
182	776	991	773.5	1021.5
183	705	826	676.5	883
184	889	978.5	775.5	992.5
185	897	991.5	890	1013.5
186	995.5	1029	993.5	1036
187	674	772.5	663.5	823.5
188	647	771	599	776
189	774.5	955.5	676.5	994
190	887	1018	774.5	1033.5
191	775	879.5	709	886.5
192	997	1031	993.5	1038
193	545	647	423.5	664.5
194	658.5	771	649.5	775
195	659.5	827	641	948
196	657.5	773	644	874
197	604	668.5	563	773.5
198	890.5	992	775.5	1019
199	605.5	657.5	580.5	670
200	417.5	554.5	378.5	598
201	652.5	757	641.5	774
202	597.5	647	568.5	655
203	775.5	949.5	774.5	978.5
204	775.5	956	774	991.5
205	708	882	676.5	942
206	775	991.5	681.5	1025.5
207	641.5	772	568.5	878
208	775.5	956	774	991.5
209	669.5	773.5	658	874.5
210	539	652	412	757.5
211	704.5	878	672	890.5
212	678	824.5	662	886
213	649	757	605	774
214	543.5	601.5	433.5	644.5
215	889.5	1021.5	775	1036.5
216	664.5	772.5	655	776
217	442	597	420	642.5
218	433.5	566	417.5	598
219	604.5	648	596	654
220	894.5	1031	775	1157.5
221	705	892.5	664.5	992
222	542	757.5	384	883.5
223	644.5	881.5	547.5	993.5
224	603	772.5	541	887
225	673	773.5	661	872
226	902.5	992.5	894.5	1018
227	548.5	603.5	440.5	645.5
228	884	990.5	775	1013.5
229	652.5	672.5	643.5	772.5
230	775	886	704	950.5
231	706.5	876.5	676	888
232	658.5	771.5	648.5	775.5
233	649	670.5	608	772.5
234	644.5	664.5	602	758.5
235	774.5	887.5	687	957.5
236	563.5	639.5	541	650.5
237	575.5	659	538	771
238	774.5	975	674.5	1016
239	654	671	646	771.5
240	774	1020	664	1153
241	677.5	881.5	658	956
242	673.5	884.5	653.5	978
243	587.5	652	548	664.5
244	661	774.5	646.5	885
245	644.5	664.5	602	758.5
246	587.5	654	546	669
247	262.5	427.5	247.5	543
248	641.5	670.5	591.5	773
249	439	605	415	652.5
250	659.5	771.5	650.5	775
251	431.5	574	414	605
252	587.5	652	548	664.5
253	601.5	665.5	553.5	772.5
254	679	770	669	776
255	420	546	409	572.5
Kerr
